variable,cf_category,category,age,label,block,hyp,ipw_var,ipw_pooled1,ipw_pooled2,ipw_pooled3,ipw_pooled4,only_abc,only_care
iq2y,Cognitive Skills,IQ Scores,2,Std. IQ Test,iq,+,,,,,,0,0
iq2y6m,Cognitive Skills,IQ Scores,2.5,Std. IQ Test,iq,+,,,,,,0,1
iq3y,Cognitive Skills,IQ Scores,3,Std. IQ Test,iq,+,,,,,,0,0
iq3y6m,Cognitive Skills,IQ Scores,3.5,Std. IQ Test,iq,+,,,,,,0,0
iq4y,Cognitive Skills,IQ Scores,4,Std. IQ Test,iq,+,,,,,,0,0
iq4y6m,Cognitive Skills,IQ Scores,4.5,Std. IQ Test,iq,+,,,,,,0,0
iq5y,Cognitive Skills,IQ Scores,5,Std. IQ Test,iq,+,,,,,,0,0
iq6y,Cognitive Skills,IQ Scores,6,Std. IQ Test,iq,+,iq6y,apgar5,m_married0y,cohort,,1,0
iq6y6m,Cognitive Skills,IQ Scores,6.6,Std. IQ Test,iq,+,,,,,,0,0
iq7y,Cognitive Skills,IQ Scores,7,Std. IQ Test,iq,+,iq7y,hrabc_index,apgar5,cohort,,0,0
iq8y,Cognitive Skills,IQ Scores,8,Std. IQ Test,iq,+,,,,,,0,0
iq12y,Cognitive Skills,IQ Scores,12,Std. IQ Test,iq,+,,,,,,0,0
iq15y,Cognitive Skills,IQ Scores,15,Std. IQ Test,iq,+,,,,,,1,0
iq21y,Cognitive Skills,IQ Scores,21,Std. IQ Test,iq,+,,,,,,1,0
ach5y6m,Cognitive Skills,Achievement Scores,5.5,Std. Achv.  Test,achievement,+,ach5y6m,hrabc_index,apgar1,cohort,,0,0
ach6y,Cognitive Skills,Achievement Scores,6,Std. Achv.  Test,achievement,+,,,,,,0,0
ach6y6m,Cognitive Skills,Achievement Scores,6.5,Std. Achv.  Test,achievement,+,ach6y6m,hrabc_index,apgar1,cohort,,1,0
ach7y,Cognitive Skills,Achievement Scores,7,Std. Achv.  Test,achievement,+,ach7y,hrabc_index,apgar1,cohort,,1,0
piat_math7y,Cognitive Skills,Achievement Scores,7,PIAT Math Std. Score,achievement,+,piat_math7y,hrabc_index,apgar1,cohort,,1,0
ach7y6m,Cognitive Skills,Achievement Scores,7.5,Std. Achv.  Test,achievement,+,,,,,,0,0
ach8y,Cognitive Skills,Achievement Scores,8,Std. Achv.  Test,achievement,+,,,,,,0,0
ach8y6m,Cognitive Skills,Achievement Scores,8.5,Std. Achv.  Test,achievement,+,,,,,,0,0
ach12y,Cognitive Skills,Achievement Scores,12,Std. Achv.  Test,achievement,+,,,,,,0,1
ach15y,Cognitive Skills,Achievement Scores,15,Std. Achv.  Test,achievement,+,,,,,,1,0
ach21y,Cognitive Skills,Achievement Scores,21,Std. Achv.  Test,achievement,+,,,,,,1,0
ibr_actv0y6m,Noncognitive Skills,Infant Behavior Record,0.5,Temperament cluster - activity level,ibr,+,,,,,,0,0
ibr_actv1y,Noncognitive Skills,Infant Behavior Record,1,Temperament cluster - activity level,ibr,+,,,,,,0,0
ibr_actv1y6m,Noncognitive Skills,Infant Behavior Record,1.5,Temperament cluster - activity level,ibr,+,,,,,,0,0
ibr_actv2y,Noncognitive Skills,Infant Behavior Record,2,Temperament cluster - activity level,ibr,+,ibr_actv2y,m_age0y,apgar1,cohort,,0,0
ibr_coop0y6m,Noncognitive Skills,Infant Behavior Record,0.5,Temperament cluster - cooperativeness,ibr,+,,,,,,0,1
ibr_coop1y,Noncognitive Skills,Infant Behavior Record,1,Temperament cluster - cooperativeness,ibr,+,,,,,,0,1
ibr_coop1y6m,Noncognitive Skills,Infant Behavior Record,1.5,Temperament cluster - cooperativeness,ibr,+,,,,,,0,1
ibr_coop2y,Noncognitive Skills,Infant Behavior Record,2,Temperament cluster - cooperativeness,ibr,+,,,,,,0,1
ibr_sociab0y6m,Noncognitive Skills,Infant Behavior Record,0.5,Temperament cluster - sociability,ibr,+,,,,,,0,0
ibr_sociab1y,Noncognitive Skills,Infant Behavior Record,1,Temperament cluster - sociability,ibr,+,,,,,,0,0
ibr_sociab1y6m,Noncognitive Skills,Infant Behavior Record,1.5,Temperament cluster - sociability,ibr,+,,,,,,0,0
ibr_sociab2y,Noncognitive Skills,Infant Behavior Record,2,Temperament cluster - sociability,ibr,+,ibr_sociab2y,m_age0y,apgar1,cohort,,1,0
ibr_task0y6m,Noncognitive Skills,Infant Behavior Record,0.5,Temperament cluster - task orientation,ibr,+,,,,,,0,0
ibr_task1y,Noncognitive Skills,Infant Behavior Record,1,Temperament cluster - task orientation,ibr,+,,,,,,0,0
ibr_task1y6m,Noncognitive Skills,Infant Behavior Record,1.5,Temperament cluster - task orientation,ibr,+,,,,,,0,0
ibr_task2y,Noncognitive Skills,Infant Behavior Record,2,Temperament cluster - task orientation,ibr,+,ibr_task2y,m_age0y,apgar1,cohort,,0,0
kr_att2y,Noncognitive Skills,Kohn and Rosman: Attentive/Cooperative,2,Attentive/Cooperative,kr_attentive,+,kr_att2y,m_age0y,apgar1,cohort,,0,0
kr_att12y,Noncognitive Skills,Kohn and Rosman: Attentive/Cooperative,12,Attentive/Cooperative,kr_attentive,+,,,,,,0,0
cbi_co6y,Noncognitive Skills,Classroom Behavior Inventory (Part I),6,Considerateness,cbi_pos,+,,,,,,0,0
cbi_co7y,Noncognitive Skills,Classroom Behavior Inventory (Part I),7,Considerateness,cbi_pos,+,cbi_co7y,hrabc_index,apgar1,cohort,,0,0
cbi_co8y,Noncognitive Skills,Classroom Behavior Inventory (Part I),8,Considerateness,cbi_pos,+,,,,,,0,0
cbi_co12y,Noncognitive Skills,Classroom Behavior Inventory (Part I),12,Considerateness,cbi_pos,+,cbi_co12y,hrabc_index,apgar1,prem_birth,,0,0
cbi_cr6y,Noncognitive Skills,Classroom Behavior Inventory (Part I),6,Creativity,cbi_pos,+,,,,,,0,0
cbi_cr7y,Noncognitive Skills,Classroom Behavior Inventory (Part I),7,Creativity,cbi_pos,+,cbi_cr7y,hrabc_index,apgar1,cohort,,0,0
cbi_cr8y,Noncognitive Skills,Classroom Behavior Inventory (Part I),8,Creativity,cbi_pos,+,,,,,,0,0
cbi_cr12y,Noncognitive Skills,Classroom Behavior Inventory (Part I),12,Creativity,cbi_pos,+,cbi_cr12y,m_age0y,apgar1,f_home0y,,0,0
cbi_ex6y,Noncognitive Skills,Classroom Behavior Inventory (Part I),6,Extraversion,cbi_pos,+,,,,,,0,0
cbi_ex7y,Noncognitive Skills,Classroom Behavior Inventory (Part I),7,Extraversion,cbi_pos,+,cbi_ex7y,hrabc_index,apgar1,cohort,,0,0
cbi_ex8y,Noncognitive Skills,Classroom Behavior Inventory (Part I),8,Extraversion,cbi_pos,+,,,,,,0,0
cbi_ex12y,Noncognitive Skills,Classroom Behavior Inventory (Part I),12,Extraversion,cbi_pos,+,cbi_ex12y,m_age0y,apgar1,f_home0y,,0,0
cbi_id6y,Noncognitive Skills,Classroom Behavior Inventory (Part I),6,Independence,cbi_pos,+,,,,,,0,0
cbi_id7y,Noncognitive Skills,Classroom Behavior Inventory (Part I),7,Independence,cbi_pos,+,cbi_id7y,hrabc_index,apgar1,cohort,,0,0
cbi_id8y,Noncognitive Skills,Classroom Behavior Inventory (Part I),8,Independence,cbi_pos,+,,,,,,0,0
cbi_id12y,Noncognitive Skills,Classroom Behavior Inventory (Part I),12,Independence,cbi_pos,+,cbi_id12y,hrabc_index,apgar1,prem_birth,,0,0
cbi_ta6y,Noncognitive Skills,Classroom Behavior Inventory (Part I),6,Task Orientation,cbi_pos,+,,,,,,0,0
cbi_ta7y,Noncognitive Skills,Classroom Behavior Inventory (Part I),7,Task Orientation,cbi_pos,+,cbi_ta7y,hrabc_index,apgar1,cohort,,0,0
cbi_ta8y,Noncognitive Skills,Classroom Behavior Inventory (Part I),8,Task Orientation,cbi_pos,+,,,,,,0,0
cbi_ta12y,Noncognitive Skills,Classroom Behavior Inventory (Part I),12,Task Orientation,cbi_pos,+,cbi_ta12y,m_age0y,apgar1,f_home0y,,0,0
cbi_ve6y,Noncognitive Skills,Classroom Behavior Inventory (Part I),6,Verbal Intelligence,cbi_pos,+,,,,,,0,0
cbi_ve7y,Noncognitive Skills,Classroom Behavior Inventory (Part I),7,Verbal Intelligence,cbi_pos,+,cbi_ve7y,hrabc_index,apgar1,cohort,,0,0
cbi_ve8y,Noncognitive Skills,Classroom Behavior Inventory (Part I),8,Verbal Intelligence,cbi_pos,+,,,,,,0,0
cbi_ve12y,Noncognitive Skills,Classroom Behavior Inventory (Part I),12,Verbal Intelligence,cbi_pos,+,cbi_ve12y,m_age0y,apgar1,f_home0y,,0,0
cbi_de6y,Noncognitive Skills,Classroom Behavior Inventory (Part II),6,Dependence,cbi_neg,-,,,,,,0,0
cbi_de7y,Noncognitive Skills,Classroom Behavior Inventory (Part II),7,Dependence,cbi_neg,-,cbi_de7y,hrabc_index,apgar1,cohort,,0,0
cbi_de8y,Noncognitive Skills,Classroom Behavior Inventory (Part II),8,Dependence,cbi_neg,-,,,,,,0,0
cbi_de12y,Noncognitive Skills,Classroom Behavior Inventory (Part II),12,Dependence,cbi_neg,-,cbi_de12y,hrabc_index,apgar1,prem_birth,,0,0
cbi_di6y,Noncognitive Skills,Classroom Behavior Inventory (Part II),6,Distractibility,cbi_neg,-,,,,,,0,0
cbi_di7y,Noncognitive Skills,Classroom Behavior Inventory (Part II),7,Distractibility,cbi_neg,-,cbi_di7y,hrabc_index,apgar1,cohort,,0,0
cbi_di8y,Noncognitive Skills,Classroom Behavior Inventory (Part II),8,Distractibility,cbi_neg,-,,,,,,0,0
cbi_di12y,Noncognitive Skills,Classroom Behavior Inventory (Part II),12,Distractibility,cbi_neg,-,cbi_di12y,m_age0y,apgar1,f_home0y,,0,0
cbi_ho6y,Noncognitive Skills,Classroom Behavior Inventory (Part II),6,Hostility,cbi_neg,-,,,,,,0,0
cbi_ho7y,Noncognitive Skills,Classroom Behavior Inventory (Part II),7,Hostility,cbi_neg,-,cbi_ho7y,hrabc_index,apgar1,cohort,,0,0
cbi_ho8y,Noncognitive Skills,Classroom Behavior Inventory (Part II),8,Hostility,cbi_neg,-,,,,,,0,0
cbi_ho12y,Noncognitive Skills,Classroom Behavior Inventory (Part II),12,Hostility,cbi_neg,-,cbi_ho12y,m_age0y,apgar1,f_home0y,,0,0
cbi_iv6y,Noncognitive Skills,Classroom Behavior Inventory (Part II),6,Introversion,cbi_neg,-,,,,,,0,0
cbi_iv7y,Noncognitive Skills,Classroom Behavior Inventory (Part II),7,Introversion,cbi_neg,-,cbi_iv7y,hrabc_index,apgar1,cohort,,0,0
cbi_iv8y,Noncognitive Skills,Classroom Behavior Inventory (Part II),8,Introversion,cbi_neg,-,,,,,,0,0
cbi_iv12y,Noncognitive Skills,Classroom Behavior Inventory (Part II),12,Introversion,cbi_neg,-,cbi_iv12y,m_age0y,apgar1,f_home0y,,0,0
easy_temp,Noncognitive Skills,"Emotional, Activity, Sociability, Impulsivity Survey",8,Activity - tempo,easi,-,,,,,,0,0
easy_vig,Noncognitive Skills,"Emotional, Activity, Sociability, Impulsivity Survey",8,Activity - vigor,easi,+,,,,,,0,0
easy_ang,Noncognitive Skills,"Emotional, Activity, Sociability, Impulsivity Survey",8,Emotionality - anger,easi,-,,,,,,0,0
easy_fear,Noncognitive Skills,"Emotional, Activity, Sociability, Impulsivity Survey",8,Emotionality - fear,easi,-,,,,,,0,0
easy_gen,Noncognitive Skills,"Emotional, Activity, Sociability, Impulsivity Survey",8,Emotionality - general,easi,-,,,,,,0,0
easy_cont,Noncognitive Skills,"Emotional, Activity, Sociability, Impulsivity Survey",8,Impulsitivity - control,easi,-,,,,,,0,0
easy_deci,Noncognitive Skills,"Emotional, Activity, Sociability, Impulsivity Survey",8,Impulsitivity - decisive,easi,-,,,,,,0,0
easy_pers,Noncognitive Skills,"Emotional, Activity, Sociability, Impulsivity Survey",8,Impulsitivity - perservere,easi,-,,,,,,0,0
easy_sens,Noncognitive Skills,"Emotional, Activity, Sociability, Impulsivity Survey",8,Impulsitivity - sensation,easi,-,,,,,,0,0
easy_soci,Noncognitive Skills,"Emotional, Activity, Sociability, Impulsivity Survey",8,Sociablity,easi,+,,,,,,0,0
hic_beh12y,Noncognitive Skills,Harter Importance,12,Behavioral conduct,harter,+,hic_beh12y,apgar5,m_married0y,cohort,,0,0
hic_phy12y,Noncognitive Skills,Harter Importance,12,Physical appearance,harter,+,hic_phy12y,apgar5,m_married0y,cohort,,0,0
hic_soc12y,Noncognitive Skills,Harter Importance,12,Social acceptance,harter,+,hic_soc12y,apgar5,m_married0y,cohort,,0,0
ap_t_ac8y,Noncognitive Skills,Achenbach Behavior,8,Activities T Score (Reported by Mother),achenbach812,+,ap_t_ac8y,hrabc_index,apgar1,cohort,,1,0
ap_t_ac12y,Noncognitive Skills,Achenbach Behavior,8,Social T Score (Reported by Mother),achenbach812,+,ap_t_so8y,hrabc_index,apgar1,cohort,,1,0
at_bats12y,Noncognitive Skills,Achenbach Behavior,12,Activities T Score (Reported by Mother),achenbach812,+,,,,,,0,0
at_hts12y,Noncognitive Skills,Achenbach Behavior,12,Behave Appropriate T Score (Reported by Teacher),achenbach812,+,at_bats12y,m_age0y,apgar1,f_home0y,,0,0
at_lts12y,Noncognitive Skills,Achenbach Behavior,12,Happiness T Score (Reported by Teacher),achenbach812,+,at_hts12y,m_age0y,apgar1,f_home0y,,0,0
ap_t_so8y,Noncognitive Skills,Achenbach Behavior,12,Learning T Score (Reported by Teacher),achenbach812,+,at_lts12y,m_age0y,apgar1,f_home0y,,0,0
ap_t_so12y,Noncognitive Skills,Achenbach Behavior,12,Social T Score (Reported by Mother),achenbach812,+,,,,,,0,0
at_whts12y,Noncognitive Skills,Achenbach Behavior,12,Work Hard T Score (Reported by Teacher),achenbach812,+,at_whts12y,m_age0y,apgar1,f_home0y,,0,0
ap_t_ag8y,Noncognitive Skills,Achenbach Symptom T Score (Reported by Mother),8,Aggressive,achenbach_symptom_mother,-,ap_t_ag8y,hrabc_index,apgar1,cohort,,0,0
ap_t_ag12y,Noncognitive Skills,Achenbach Symptom T Score (Reported by Mother),12,Aggressive,achenbach_symptom_mother,-,,,,,,0,0
ap_t_dl8y,Noncognitive Skills,Achenbach Symptom T Score (Reported by Mother),8,Delinquent,achenbach_symptom_mother,-,ap_t_dl8y,hrabc_index,apgar1,cohort,,0,0
ap_t_dl12y,Noncognitive Skills,Achenbach Symptom T Score (Reported by Mother),12,Delinquent,achenbach_symptom_mother,-,,,,,,0,0
ap_t_dp8y,Noncognitive Skills,Achenbach Symptom T Score (Reported by Mother),8,Depressed,achenbach_symptom_mother,-,ap_t_dp8y,hrabc_index,apgar1,cohort,,0,0
ap_ex_t8y,Noncognitive Skills,Achenbach Symptom T Score (Reported by Mother),8,Externalizing,achenbach_symptom_mother,-,ap_ex_t8y,hrabc_index,apgar1,cohort,,0,0
ap_ex_t12y,Noncognitive Skills,Achenbach Symptom T Score (Reported by Mother),12,Externalizing,achenbach_symptom_mother,-,,,,,,0,0
ap_t_hy8y,Noncognitive Skills,Achenbach Symptom T Score (Reported by Mother),8,Hyperactive,achenbach_symptom_mother,-,ap_t_hy8y,hrabc_index,apgar1,cohort,,0,0
ap_in_t8y,Noncognitive Skills,Achenbach Symptom T Score (Reported by Mother),8,Internalizing,achenbach_symptom_mother,-,ap_in_t8y,hrabc_index,apgar1,cohort,,0,0
ap_in_t12y,Noncognitive Skills,Achenbach Symptom T Score (Reported by Mother),12,Internalizing,achenbach_symptom_mother,-,,,,,,0,0
ap_t_sz12y,Noncognitive Skills,Achenbach Symptom T Score (Reported by Mother),12,Schizoid,achenbach_symptom_mother,-,,,,,,0,0
ap_t_sc8y,Noncognitive Skills,Achenbach Symptom T Score (Reported by Mother),8,Somatic Complaints,achenbach_symptom_mother,-,ap_t_sc8y,hrabc_index,apgar1,cohort,,0,0
ap_t_sc12y,Noncognitive Skills,Achenbach Symptom T Score (Reported by Mother),12,Somatic Complaints,achenbach_symptom_mother,-,,,,,,0,0
at_t_ag12y,Noncognitive Skills,Achenbach Symptom T Score (Reported by Teacher),12,Aggressive,achenbach_symptom_teacher,-,at_t_ag12y,m_age0y,apgar1,f_home0y,,0,0
at_t_ax12y,Noncognitive Skills,Achenbach Symptom T Score (Reported by Teacher),12,Anxious,achenbach_symptom_teacher,-,at_t_ax12y,m_age0y,apgar1,f_home0y,,0,0
at_ex_t12y,Noncognitive Skills,Achenbach Symptom T Score (Reported by Teacher),12,Externalizing,achenbach_symptom_teacher,-,at_ex_t12y,m_age0y,apgar1,f_home0y,,0,0
at_t_im12y,Noncognitive Skills,Achenbach Symptom T Score (Reported by Teacher),12,Immature,achenbach_symptom_teacher,-,at_t_im12y,m_age0y,apgar1,f_home0y,,0,0
at_t_in12y,Noncognitive Skills,Achenbach Symptom T Score (Reported by Teacher),12,Inattentive,achenbach_symptom_teacher,-,at_t_in12y,m_age0y,apgar1,f_home0y,,0,0
at_in_t12y,Noncognitive Skills,Achenbach Symptom T Score (Reported by Teacher),12,Internalizing,achenbach_symptom_teacher,-,at_in_t12y,m_age0y,apgar1,f_home0y,,0,0
at_t_sd12y,Noncognitive Skills,Achenbach Symptom T Score (Reported by Teacher),12,Self-Destructive,achenbach_symptom_teacher,-,at_t_sd12y,m_age0y,apgar1,f_home0y,,0,0
at_t_sw12y,Noncognitive Skills,Achenbach Symptom T Score (Reported by Teacher),12,Socially Withdrawn,achenbach_symptom_teacher,-,at_t_sw12y,m_age0y,apgar1,f_home0y,,0,0
at_t_up12y,Noncognitive Skills,Achenbach Symptom T Score (Reported by Teacher),12,Unpopular,achenbach_symptom_teacher,-,at_t_up12y,m_age0y,apgar1,f_home0y,,0,0
cas_condeny12y,Noncognitive Skills,Child Assessment Schedule (CAS),12,Denies Any Worries,cas,-,,,,,,0,0
cas_selfamp12y,Noncognitive Skills,Child Assessment Schedule (CAS),12,Family Proud of You,cas,+,,,,,,0,0
cas_selinad12y,Noncognitive Skills,Child Assessment Schedule (CAS),12,"Feels Inadequate, Inferior",cas,-,,,,,,0,0
cas_seldesc12y,Noncognitive Skills,Child Assessment Schedule (CAS),12,Good Description of Self,cas,+,,,,,,0,0
cas_mbignor12y,Noncognitive Skills,Child Assessment Schedule (CAS),12,Ignores Situation,cas,-,,,,,,0,0
cas_mbimpul12y,Noncognitive Skills,Child Assessment Schedule (CAS),12,Impulsivity,cas,-,,,,,,0,0
cas_mbcope12y,Noncognitive Skills,Child Assessment Schedule (CAS),12,Not Cope with Problem,cas,-,,,,,,0,0
cas_mbothma12y,Noncognitive Skills,Child Assessment Schedule (CAS),12,Often Mad or Angry,cas,-,cas_mbothma12y,hrabc_index,apgar1,cohort,,0,0
cas_actpart12y,Noncognitive Skills,Child Assessment Schedule (CAS),12,Participates in Activity,cas,+,,,,,,0,0
cas_selprou12y,Noncognitive Skills,Child Assessment Schedule (CAS),12,Proud about Self,cas,+,,,,,,0,0
cas_anxfear12y,Noncognitive Skills,Child Assessment Schedule (CAS),12,Significant Fears,cas,-,,,,,,0,0
cas_actread12y,Noncognitive Skills,Child Assessment Schedule (CAS),12,Time spent reading,cas,+,,,,,,0,0
cas_selclum12y,Noncognitive Skills,Child Assessment Schedule (CAS),12,Views Self as Clumsy,cas,-,,,,,,0,0
cas_seldumb12y,Noncognitive Skills,Child Assessment Schedule (CAS),12,Views Self as Dumb,cas,-,,,,,,0,0
cas_selnpop12y,Noncognitive Skills,Child Assessment Schedule (CAS),12,Views Self as Not Liked,cas,-,,,,,,0,0
cas_mbwithd12y,Noncognitive Skills,Child Assessment Schedule (CAS),12,Withdraws Excessively,cas,-,,,,,,0,0
m_inc0y,"Mother's Employment, Education, and Income",Mother's Income,0,Mother's Earned Inc.,mother_inc,+,,,,,,0,1
m_inc_trans21y,"Mother's Employment, Education, and Income",Mother's Income,21,Mother's Public-Transfer Inc.,mother_inc,+,m_inc_trans21y,m_iq0y,apgar1,cohort,,1,0
p_inc0y,"Mother's Employment, Education, and Income",Parental Labor Income,0,Parental Labor Income,parent_income,+,,,,,,1,0
pi_inc_trans12y,"Mother's Employment, Education, and Income",Parental Public Transfer Income,12,Parental Public-Transfer Income,,+,pi_inc_trans12y,hrabc_index,apgar5,prem_birth,,0,0
adopted_ever,Childhood Household Environment,Adoption,,Ever Adopted,,+,,,,,,1,0
hh_inc0y,Childhood Household Environment,Childhood Household Income,0,Household Earned Income,hh_inc,+,,,,,,0,1
hh_inc8y,Childhood Household Environment,Childhood Household Income,9,Household Earned Income,hh_inc,+,hh_inc8y,apgar1,m_married0y,cohort,,0,1
hh_inc12y,Childhood Household Environment,Childhood Household Income,12,Household Earned Income,hh_inc,+,hh_inc12y,hrabc_index,apgar1,cohort,,0,0
f_home1y6m,Childhood Household Environment,Father at Home,2,Father at Home,father_home,+,,,,,,0,0
f_home2y6m,Childhood Household Environment,Father at Home,3,Father at Home,father_home,+,,,,,,0,0
f_home3y6m,Childhood Household Environment,Father at Home,4,Father at Home,father_home,+,,,,,,0,0
f_home4y6m,Childhood Household Environment,Father at Home,5,Father at Home,father_home,+,,,,,,0,0
f_home8y,Childhood Household Environment,Father at Home,8,Father at Home,father_home,+,f_home8y,hrabc_index,apgar1,cohort,,0,0
home0y6m,Childhood Household Environment,HOME Scores,0.5,HOME Score,home,+,,,,,,0,0
home1y6m,Childhood Household Environment,HOME Scores,1.5,HOME Score,home,+,,,,,,0,0
home2y6m,Childhood Household Environment,HOME Scores,2.5,HOME Score,home,+,,,,,,0,0
home3y6m,Childhood Household Environment,HOME Scores,3.5,HOME Score,home,+,,,,,,0,0
home4y6m,Childhood Household Environment,HOME Scores,4.5,HOME Score,home,+,,,,,,0,0
home8y,Childhood Household Environment,HOME Scores,8,HOME Score,home,+,home8y,hrabc_index,apgar1,cohort,,0,0
Sp_TroubleFam,Adult Household Environment,Relation with Spouse,30,No trouble with spouse family,rel_spouse,+,Sp_TroubleFam,hrabc_index,apgar1,apgar5,,0,0
Sp_GetAlong,Adult Household Environment,Relation with Spouse,30,Get along well with spouse,rel_spouse,+,Sp_GetAlong,hrabc_index,apgar1,apgar5,,0,0
Sp_Disagree,Adult Household Environment,Relation with Spouse,30,No disagreement on living arrangement,rel_spouse,+,Sp_Disagree,hrabc_index,apgar1,apgar5,,0,0
Sp_Inc,Adult Household Environment,Spouse Characteristics,30,Spouse annual income,econ_spouse,+,Sp_Inc,m_ed0y,hrabc_index,apgar1,,0,0
Sp_Emp,Adult Household Environment,Spouse Characteristics,30,Spouse employment status,econ_spouse,+,Sp_Emp,m_ed0y,hrabc_index,apgar1,,0,0
HomeDensity,Adult Household Environment,Subject Home and Property,30,Room density (room/people),property,+,,,,,,0,0
OwnComp,Adult Household Environment,Subject Home and Property,30,Own computers,property,+,,,,,,0,0
OwnCar,Adult Household Environment,Subject Home and Property,30,Own cars,property,+,,,,,,0,0
OwnResid,Adult Household Environment,Subject Home and Property,30,Own residences,property,+,,,,,,0,0
years_30y,"Education, Employment, Income",Education,30,Years of Edu.,education,+,,,,,,0,0
sch_hs30y,"Education, Employment, Income",Education,30,Graduated High School,education,+,,,,,,0,0
si30y_univ_comp,"Education, Employment, Income",Education,30,Graduated 4-year College,education,+,si30y_univ_comp,apgar1,apgar5,cohort,,0,0
si30y_techcc_att,"Education, Employment, Income",Education,30,Attended Voc./Tech./Com. College,education,+,,,,,,0,0
si30y_works_job,"Education, Employment, Income",Subject Employment and Income,30,Employed,employment,+,,,,,,0,0
si21y_inc_labor,"Education, Employment, Income",Subject Employment and Income,21,Labor Income,employment,+,si21y_inc_labor,hrabc_index,apgar1,cohort,,0,0
si30y_inc_labor,"Education, Employment, Income",Subject Employment and Income,30,Labor Income,employment,+,si30y_inc_labor,m_ed0y,apgar5,cohort,,0,0
si21y_inc_trans_pub,"Education, Employment, Income",Subject Employment and Income,21,Public-Transfer Income,employment,-,si21y_inc_trans_pub,hrabc_index,apgar1,cohort,,0,0
si30y_inc_trans_pub,"Education, Employment, Income",Subject Employment and Income,30,Public-Transfer Income,employment,-,si30y_inc_trans_pub,m_ed0y,apgar5,cohort,,0,0
J_Satisfied,"Education, Employment, Income",Job Attitude,30,Satisfied with working situation,jobattitude,+,J_Satisfied,hrabc_index,apgar5,cohort,,0,0
J_WorkWell,"Education, Employment, Income",Job Attitude,30,Do work well,jobattitude,+,J_WorkWell,hrabc_index,apgar5,cohort,,0,0
J_Worry,"Education, Employment, Income",Job Attitude,30,Not worry too much about work,jobattitude,+,J_Worry,hrabc_index,apgar5,cohort,,0,0
J_Others,"Education, Employment, Income",Job Attitude,30,Work well with others,jobattitude,+,J_Others,hrabc_index,apgar5,cohort,,0,0
J_Lose,"Education, Employment, Income",Job Attitude,30,Don't do things that cause to lose job,jobattitude,+,J_Lose,hrabc_index,apgar5,cohort,,0,0
J_Trouble,"Education, Employment, Income",Job Attitude,30,No trouble finishing work,jobattitude,+,J_Trouble,hrabc_index,apgar5,cohort,,0,0
