variable,cf_category,category,age,label,block,hyp,ipw_var,ipw_pooled1,ipw_pooled2,ipw_pooled3,ipw_pooled4,only_abc,only_care
J_Stress,"Education, Employment, Income",Job Attitude,30,Job not too stressful,jobattitude,+,J_Stress,hrabc_index,apgar5,cohort,,0,0
J_StayAway,"Education, Employment, Income",Job Attitude,30,Don't stay away from job,jobattitude,+,J_StayAway,m_iq0y,apgar5,cohort,,0,0
J_Boss,"Education, Employment, Income",Job Attitude,30,No trouble with boss,jobattitude,+,J_Boss,hrabc_index,apgar5,cohort,,0,0
contrewsd,"Education, Employment, Income",Job Satisfaction Score,30,Recognition for good work,jobsatisfcation,+,contrewsd,hrabc_index,apgar5,prem_birth,,0,0
jbsttotsd,"Education, Employment, Income",Job Satisfaction Score,30,Total,jobsatisfcation,+,jbsttotsd,hrabc_index,apgar1,prem_birth,,0,0
opprocsd,"Education, Employment, Income",Job Satisfaction Score,30,Operating policies and procedures,jobsatisfcation,+,opprocsd,hrabc_index,apgar5,prem_birth,,0,0
supervisionsd,"Education, Employment, Income",Job Satisfaction Score,30,Immediate supervisor,jobsatisfcation,+,supervisionsd,hrabc_index,apgar5,cohort,,0,0
paysd,"Education, Employment, Income",Job Satisfaction Score,30,Pay and remuneration,jobsatisfcation,+,paysd,hrabc_index,apgar5,prem_birth,,0,0
coworkerssd,"Education, Employment, Income",Job Satisfaction Score,30,Coworkers,jobsatisfcation,+,coworkerssd,hrabc_index,apgar5,prem_birth,,0,0
natworksd,"Education, Employment, Income",Job Satisfaction Score,30,Job tasks,jobsatisfcation,+,natworksd,hrabc_index,apgar5,prem_birth,,0,0
fringebensd,"Education, Employment, Income",Job Satisfaction Score,30,Fringe benefits,jobsatisfcation,+,fringebensd,hrabc_index,apgar1,prem_birth,,0,0
commsd,"Education, Employment, Income",Job Satisfaction Score,30,Communication with organization,jobsatisfcation,+,commsd,hrabc_index,apgar5,prem_birth,,0,0
promotionsd,"Education, Employment, Income",Job Satisfaction Score,30,Promotion opportunities,jobsatisfcation,+,promotionsd,hrabc_index,apgar5,prem_birth,,0,0
ad34_mis,Crime,Crime,Mid-30s,Total Misdemeanor Arrests,crime,-,ad34_mis,apgar1,apgar5,cohort,,0,0
ad34_fel,Crime,Crime,Mid-30s,Total Felony Arrests,crime,-,ad34_fel,apgar1,apgar5,cohort,,0,0
si30y_adlt_totinc,Crime,Crime,30,Total Years Incarcerated,crime,-,,,,,,0,0
bmi0y,Childhood Health,Childhood and Adolescence Physical Health,0,Body Mass Index (BMI),bmi_child,-,,,,,,1,0
bmi0y3m,Childhood Health,Childhood and Adolescence Physical Health,0.25,Body Mass Index (BMI),bmi_child,-,,,,,,1,0
bmi0y6m,Childhood Health,Childhood and Adolescence Physical Health,0.5,Body Mass Index (BMI),bmi_child,-,,,,,,0,0
bmi0y9m,Childhood Health,Childhood and Adolescence Physical Health,0.75,Body Mass Index (BMI),bmi_child,-,bmi0y9m,hrabc_index,apgar5,cohort,,1,0
bmi1y,Childhood Health,Childhood and Adolescence Physical Health,1,Body Mass Index (BMI),bmi_child,-,,,,,,0,0
bmi1y6m,Childhood Health,Childhood and Adolescence Physical Health,1.5,Body Mass Index (BMI),bmi_child,-,,,,,,0,0
bmi2y,Childhood Health,Childhood and Adolescence Physical Health,2,Body Mass Index (BMI),bmi_child,-,,,,,,0,0
bmi2y6m,Childhood Health,Childhood and Adolescence Physical Health,2.5,Body Mass Index (BMI),bmi_child,-,bmi2y6m,apgar1,apgar5,cohort,,1,0
bmi3y,Childhood Health,Childhood and Adolescence Physical Health,3,Body Mass Index (BMI),bmi_child,-,bmi3y,hrabc_index,apgar1,cohort,,1,0
bmi4y,Childhood Health,Childhood and Adolescence Physical Health,4,Body Mass Index (BMI),bmi_child,-,,,,,,0,0
bmi5y,Childhood Health,Childhood and Adolescence Physical Health,5,Body Mass Index (BMI),bmi_child,-,,,,,,0,0
bmi8y,Childhood Health,Childhood and Adolescence Physical Health,8,Body Mass Index (BMI),bmi_child,-,,,,,,0,0
chsick7,Childhood Health,Childhood Health Problems,12,Has Health Problems,health_prob_child,-,chsick7,hrabc_index,apgar1,cohort,,0,0
hospitl7,Childhood Health,Childhood Health Problems,12,Ever Hospitalized for Over 1 Week,health_prob_child,-,hospitl7,hrabc_index,apgar5,cohort,,0,0
si34y_dyslipid,Adult Health,Cholesterol,Mid-30s,Dyslipidemia,cholesterol,-,si34y_time,apgar1,apgar5,prem_birth,,0,0
si34y_chol_hdl,Adult Health,Cholesterol,Mid-30s,High-Density Lipoprotein Chol. (mg/dL),cholesterol,+,si34y_time,apgar1,apgar5,prem_birth,,0,0
si34y_hprob_asthma,Adult Health,Current Health Condition (Self-Reported),Mid-30s,Asthma,physical health,-,si34y_time,apgar1,apgar5,prem_birth,,0,0
si34y_hprob_bloodpr,Adult Health,Current Health Condition (Self-Reported),Mid-30s,High Blood Pressure (Hypertension),physical health,-,si34y_time,apgar1,apgar5,prem_birth,,0,0
si34y_hprob_orthop,Adult Health,Current Health Condition (Self-Reported),Mid-30s,Arthritis or Generative Disease,physical health,-,si34y_time,apgar1,apgar5,prem_birth,,0,0
si34y_hprob_diabetes,Adult Health,Current Health Condition (Self-Reported),Mid-30s,Diabetes,physical health,-,si34y_time,apgar1,apgar5,prem_birth,,0,0
si34y_prediab,Adult Health,Diabetes,Mid-30s,Prediabetes,diabetes,-,si34y_time,apgar1,apgar5,prem_birth,,0,0
si34y_hemoglobin,Adult Health,Diabetes,Mid-30s,Hemoglobin Level (\%),diabetes,-,si34y_time,apgar1,apgar5,prem_birth,,0,0
si34y_diab,Adult Health,Diabetes,Mid-30s,Diabetes,diabetes,-,si34y_time,apgar1,apgar5,prem_birth,,0,0
si30y_coc_ever_reg,Adult Health,Drug Behavior and ASR Substance Scale,30,Cocaine: Smokes Reguarly,asr_risk,-,,,,,,0,0
si30y_marj_num,Adult Health,Drug Behavior and ASR Substance Scale,30,Marijuana: Times Used,asr_risk,-,,,,,,0,0
si30y_marj_reg,Adult Health,Drug Behavior and ASR Substance Scale,30,Marijuana: Smokes Regularly,asr_risk,-,,,,,,0,0
si30y_coc_num,Adult Health,Drug Behavior and ASR Substance Scale,30,Cocaine: Times Used,asr_risk,-,,,,,,0,0
si30y_marj_freq,Adult Health,Drug Behavior and ASR Substance Scale,30,Marijuana: Times Used in Past 30 Days,asr_risk,-,,,,,,0,0
si21y_risk34,Adult Health,Drug Behavior and ASR Substance Scale,21,Times Used Other Illegal Drugs in Past 30 Days,asr_risk,-,,,,,,0,0
alc_t,Adult Health,Drug Behavior and ASR Substance Scale,30,ASR Substance Use Scale: Alcohol,asr_risk,-,,,,,,0,0
si21y_risk29,Adult Health,Drug Behavior and ASR Substance Scale,21,Marijuana: Times Used in Past 30 Days,asr_risk,-,,,,,,0,0
ms_t,Adult Health,Drug Behavior and ASR Substance Scale,30,ASR Substance Use Scale: Mean Substance Abuse,asr_risk,-,,,,,,0,0
si30y_crack_num,Adult Health,Drug Behavior and ASR Substance Scale,30,Cocaine: Number of Times Used Crack Cocaine,asr_risk,-,,,,,,0,0
tob_t,Adult Health,Drug Behavior and ASR Substance Scale,30,ASR Substance Use Scale: Tobacco,asr_risk,-,,,,,,0,0
si34y_marj_reg,Adult Health,Drug Behavior and ASR Substance Scale,Mid-30s,Marijuana: Smokes Regularly,asr_risk,-,si34y_time,apgar1,apgar5,prem_birth,,0,0
drug_t,Adult Health,Drug Behavior and ASR Substance Scale,30,ASR Substance Use Scale: Drugs,asr_risk,-,,,,,,0,0
si30y_hlthins,Adult Health,Health Insurance,30,Has Health Insurance,health_insurance,+,,,,,,0,0
si21y_hlthins,Adult Health,Health Insurance,21,Has Health Insurance,health_insurance,+,,,,,,0,0
si34y_prehyper,Adult Health,Hypertension,Mid-30s,Prehypertension,hypertension,-,si34y_time,apgar1,apgar5,prem_birth,,0,0
si34y_sys_bp,Adult Health,Hypertension,Mid-30s,Systolic Blood Pressure (mm Hg),hypertension,-,si34y_time,apgar1,apgar5,prem_birth,,0,0
si34y_dia_bp,Adult Health,Hypertension,Mid-30s,Diastolic Blood Pressure (mm Hg),hypertension,-,si34y_time,apgar1,apgar5,prem_birth,,0,0
si34y_hyper,Adult Health,Hypertension,Mid-30s,Hypertension,hypertension,-,si34y_time,apgar1,apgar5,prem_birth,,0,0
CMP_ALB_GLOB,Adult Health,Laboratory Test  - Metabolic Panel,Mid-30s,Albumin/Globulin Ratio,lab_metabolic,+,si34y_time,apgar1,apgar5,prem_birth,,0,0
CMP_ALT,Adult Health,Laboratory Test  - Metabolic Panel,Mid-30s,ALT,lab_metabolic,+,si34y_time,apgar1,apgar5,prem_birth,,0,0
CMP_ALB,Adult Health,Laboratory Test  - Metabolic Panel,Mid-30s,Albumin,lab_metabolic,+,si34y_time,apgar1,apgar5,prem_birth,,0,0
CMP_NA,Adult Health,Laboratory Test  - Metabolic Panel,Mid-30s,Sodium,lab_metabolic,+,si34y_time,apgar1,apgar5,prem_birth,,0,0
CMP_CO2,Adult Health,Laboratory Test  - Metabolic Panel,Mid-30s,Carbon Dioxide,lab_metabolic,+,si34y_time,apgar1,apgar5,prem_birth,,0,0
CMP_AST,Adult Health,Laboratory Test  - Metabolic Panel,Mid-30s,AST,lab_metabolic,+,si34y_time,apgar1,apgar5,prem_birth,,0,0
CMP_UREA,Adult Health,Laboratory Test  - Metabolic Panel,Mid-30s,Urea Nitrogen,lab_metabolic,+,si34y_time,apgar1,apgar5,prem_birth,,0,0
CMP_GLOB,Adult Health,Laboratory Test  - Metabolic Panel,Mid-30s,Globulin,lab_metabolic,+,si34y_time,apgar1,apgar5,prem_birth,,0,0
CMP_CL,Adult Health,Laboratory Test  - Metabolic Panel,Mid-30s,Chloride,lab_metabolic,+,si34y_time,apgar1,apgar5,prem_birth,,0,0
CMP_GLUCOSE,Adult Health,Laboratory Test  - Metabolic Panel,Mid-30s,Glucose,lab_metabolic,+,si34y_time,apgar1,apgar5,prem_birth,,0,0
CMP_K,Adult Health,Laboratory Test  - Metabolic Panel,Mid-30s,Potassium,lab_metabolic,+,si34y_time,apgar1,apgar5,prem_birth,,0,0
CMP_CREAT,Adult Health,Laboratory Test  - Metabolic Panel,Mid-30s,Creatinine,lab_metabolic,+,si34y_time,apgar1,apgar5,prem_birth,,0,0
CMP_CA,Adult Health,Laboratory Test  - Metabolic Panel,Mid-30s,Calcium,lab_metabolic,+,si34y_time,apgar1,apgar5,prem_birth,,0,0
CMP_BILI,Adult Health,Laboratory Test  - Metabolic Panel,Mid-30s,Bilirubin,lab_metabolic,+,si34y_time,apgar1,apgar5,prem_birth,,0,0
CMP_ALKPHOS,Adult Health,Laboratory Test  - Metabolic Panel,Mid-30s,Alkaline Phosp,lab_metabolic,+,si34y_time,apgar1,apgar5,prem_birth,,0,0
CMP_PROT,Adult Health,Laboratory Test  - Metabolic Panel,Mid-30s,Protein,lab_metabolic,+,si34y_time,apgar1,apgar5,prem_birth,,0,0
CBC_MCV,Adult Health,Laboratory Test - Complete Blood Count,Mid-30s,Mean Cell Volum,lab_count,+,si34y_time,apgar1,apgar5,prem_birth,,0,0
CBC_PLATELET,Adult Health,Laboratory Test - Complete Blood Count,Mid-30s,Platelets,lab_count,+,si34y_time,apgar1,apgar5,prem_birth,,0,0
CBC_EOSINO,Adult Health,Laboratory Test - Complete Blood Count,Mid-30s,Eosinophils,lab_count,+,si34y_time,apgar1,apgar5,prem_birth,,0,0
CBC_HEMOG,Adult Health,Laboratory Test - Complete Blood Count,Mid-30s,Hemoglobin,lab_count,+,si34y_time,apgar1,apgar5,prem_birth,,0,0
CBC_RED,Adult Health,Laboratory Test - Complete Blood Count,Mid-30s,Red Cells,lab_count,+,si34y_time,apgar1,apgar5,prem_birth,,0,0
CBC_LYMPHO,Adult Health,Laboratory Test - Complete Blood Count,Mid-30s,Lymphocytes,lab_count,+,si34y_time,apgar1,apgar5,prem_birth,,0,0
CBC_MONO,Adult Health,Laboratory Test - Complete Blood Count,Mid-30s,Monocytes,lab_count,+,si34y_time,apgar1,apgar5,prem_birth,,0,0
CBC_NEUTRO,Adult Health,Laboratory Test - Complete Blood Count,Mid-30s,Neutrophils,lab_count,+,si34y_time,apgar1,apgar5,prem_birth,,0,0
CBC_BASO,Adult Health,Laboratory Test - Complete Blood Count,Mid-30s,Basophils,lab_count,+,si34y_time,apgar1,apgar5,prem_birth,,0,0
CBC_MCH,Adult Health,Laboratory Test - Complete Blood Count,Mid-30s,Mean Hemoglobin,lab_count,+,si34y_time,apgar1,apgar5,prem_birth,,0,0
CBC_WHITE,Adult Health,Laboratory Test - Complete Blood Count,Mid-30s,White Cells,lab_count,+,si34y_time,apgar1,apgar5,prem_birth,,0,0
CBC_HCT,Adult Health,Laboratory Test - Complete Blood Count,Mid-30s,Hematocrit,lab_count,+,si34y_time,apgar1,apgar5,prem_birth,,0,0
CBC_RDW,Adult Health,Laboratory Test - Complete Blood Count,Mid-30s,Red Cell Width,lab_count,+,si34y_time,apgar1,apgar5,prem_birth,,0,0
CBC_MCHC,Adult Health,Laboratory Test - Complete Blood Count,Mid-30s,Mean Hb Concentration,lab_count,+,si34y_time,apgar1,apgar5,prem_birth,,0,0
QLHLTH2,Adult Health,Other Health-Related Information,Mid-30s,Number of Days Very Healthy in Past 30 Days,physical health,+,si34y_time,apgar1,apgar5,prem_birth,,0,0
sint30_078,Adult Health,Other Health-Related Information,30,How Subject Thinks of Own Weight,,-,,,,,,0,0
PAINACT2,Adult Health,Other Health-Related Information,Mid-30s,Number of Days in Pain in Past 30 Days,physical health,-,si34y_time,apgar1,apgar5,prem_birth,,0,0
sint30_023,Adult Health,Other Health-Related Information,30,Physical/Nervous Condition Prevents Work,,-,,,,,,0,0
HAVARTH2,Adult Health,Past Medical History - Diagnosis (Self-Reported),Mid-30s,Ever Told Had: Arthritis/Gout/Lupus/Fibromyalgia,health_told,-,si34y_time,apgar1,apgar5,prem_birth,,0,0
PREDIAB1_R,Adult Health,Past Medical History - Diagnosis (Self-Reported),Mid-30s,Ever Told Had: Prediabetes,health_told,-,si34y_time,apgar1,apgar5,prem_birth,,0,0
PSH_CHOLEC,Adult Health,Past Medical History - Surgery (Self-Reported),Mid-30s,Past Surgery: Cholecystectomy,health_surgery,-,si34y_time,apgar1,apgar5,prem_birth,,0,0
PSH_ORTHO,Adult Health,Past Medical History - Surgery (Self-Reported),Mid-30s,Past Surgery: Orthopedic Surgery,health_surgery,-,si34y_time,apgar1,apgar5,prem_birth,,0,0
PSH_APPEN,Adult Health,Past Medical History - Surgery (Self-Reported),Mid-30s,Past Surgery: Appendectomy,health_surgery,-,si34y_time,apgar1,apgar5,prem_birth,,0,0
PSH_ECT,Adult Health,Past Medical History - Surgery (Self-Reported),Mid-30s,Past Surgery: Ectopic Pregnancy,health_surgery,-,si34y_time,apgar1,apgar5,prem_birth,,0,0
PSH_HYST,Adult Health,Past Medical History - Surgery (Self-Reported),Mid-30s,Past Surgery: Hysterectomy,health_surgery,-,si34y_time,apgar1,apgar5,prem_birth,,0,0
jobactiv,Adult Health,Physical Activity,Mid-30s,Level of Activity at Work,physical_activity,+,jobactiv,m_ed0y,apgar1,apgar5,,0,0
PE_AUD,Adult Health,Physical Exam - Ear,Mid-30s,Ear: Auditory Canal,phys_ear,-,si34y_time,apgar1,apgar5,prem_birth,,0,0
PE_EYEBALL,Adult Health,Physical Exam - Ear,Mid-30s,Eye: Eyeball,phys_ear,-,si34y_time,apgar1,apgar5,prem_birth,,0,0
PE_FUNDI,Adult Health,Physical Exam - Ear,Mid-30s,Eye: Fundi,phys_ear,-,si34y_time,apgar1,apgar5,prem_birth,,0,0
PE_RESP,Adult Health,Physical Exam - General I,Mid-30s,Respirations,phys_gen_i,-,si34y_time,apgar1,apgar5,prem_birth,,0,0
PE_TEMP,Adult Health,Physical Exam - General I,Mid-30s,Temp (F),phys_gen_i,-,si34y_time,apgar1,apgar5,prem_birth,,0,0
PE_PULS,Adult Health,Physical Exam - General I,Mid-30s,Pulse,phys_gen_i,-,si34y_time,apgar1,apgar5,prem_birth,,0,0
PE_NUT,Adult Health,Physical Exam - General I,Mid-30s,Nutrition,phys_gen_i,-,si34y_time,apgar1,apgar5,prem_birth,,0,0
PE_POST,Adult Health,Physical Exam - General I,Mid-30s,Posture,phys_gen_i,-,si34y_time,apgar1,apgar5,prem_birth,,0,0
PE_CHGEN,Adult Health,Physical Exam - General II,Mid-30s,Chest and Lung General,phys_gen_ii,-,si34y_time,apgar1,apgar5,prem_birth,,0,0
PE_CARDIO,Adult Health,Physical Exam - General II,Mid-30s,Cardiovascular General,phys_gen_ii,-,si34y_time,apgar1,apgar5,prem_birth,,0,0
PE_SKIN,Adult Health,Physical Exam - General II,Mid-30s,Skin General,phys_gen_ii,-,si34y_time,apgar1,apgar5,prem_birth,,0,0
PE_JOINT,Adult Health,Physical Exam - General II,Mid-30s,Musculoskeletal General,phys_gen_ii,-,si34y_time,apgar1,apgar5,prem_birth,,0,0
PE_HEAD,Adult Health,Physical Exam - General II,Mid-30s,Head General,phys_gen_ii,-,si34y_time,apgar1,apgar5,prem_birth,,0,0
PE_UPTEETH,Adult Health,Physical Exam (Part II),Mid-30s,Mouth and Throat: Upper Teeth,phys_mouth,-,si34y_time,apgar1,apgar5,prem_birth,,0,0
PE_REFL,Adult Health,Physical Exam (Part II),Mid-30s,Muscle Strength: Reflexes,phys_muscle,-,si34y_time,apgar1,apgar5,prem_birth,,0,0
PE_LOWTEETH,Adult Health,Physical Exam (Part II),Mid-30s,Mouth and Throat: Lower Teeth,phys_mouth,-,si34y_time,apgar1,apgar5,prem_birth,,0,0
bsi_tpar,Mental Health,Age 21 Brief Symptom Inventory,21,Paranoid Ideation,mental_bsi21,-,,,,,,0,0
bsi_toc,Mental Health,Age 21 Brief Symptom Inventory,21,Obsessive-Compulsive,mental_bsi21,-,,,,,,0,0
bsi_tis,Mental Health,Age 21 Brief Symptom Inventory,21,Interpersonal Sense,mental_bsi21,-,,,,,,0,0
bsi_tpsd,Mental Health,Age 21 Brief Symptom Inventory,21,Positive Symptom Distress Index (PSI),mental_bsi21,-,,,,,,0,0
bsi_tpsy,Mental Health,Age 21 Brief Symptom Inventory,21,Psychoticism,mental_bsi21,-,,,,,,0,0
bsi_tpho,Mental Health,Age 21 Brief Symptom Inventory,21,Phobic Anxiety,mental_bsi21,-,,,,,,0,0
bsi_tpst,Mental Health,Age 21 Brief Symptom Inventory,21,Positive Symptom Total (PST),mental_bsi21,-,,,,,,0,0
dsm_som_t,Mental Health,Age 30 Adult Self Report DSM Scale $t$-Score,30,Somatic Problems,mental_dsm30,-,,,,,,0,0
dsm_adh_t,Mental Health,Age 30 Adult Self Report DSM Scale $t$-Score,30,AD/H Problems,mental_dsm30,-,,,,,,0,0
dsm_dep_t,Mental Health,Age 30 Adult Self Report DSM Scale $t$-Score,30,Depressive Problems,mental_dsm30,-,,,,,,0,0
dsm_avd_t,Mental Health,Age 30 Adult Self Report DSM Scale $t$-Score,30,Avoidant Personality Problems,mental_dsm30,-,,,,,,0,0
dsm_anx_t,Mental Health,Age 30 Adult Self Report DSM Scale $t$-Score,30,Anxiety Problems,mental_dsm30,-,,,,,,0,0
dsm_ant_t,Mental Health,Age 30 Adult Self Report DSM Scale $t$-Score,30,Antisocial Personality Problems,mental_dsm30,-,,,,,,0,0
som_t,Mental Health,Age 30 Adult Self Report Syndrome Scale $t$-Score,30,Somatic Complaints,mental_syndrome30,-,,,,,,0,0
agg_t,Mental Health,Age 30 Adult Self Report Syndrome Scale $t$-Score,30,Aggressive Behavior,mental_syndrome30,-,,,,,,0,0
intr_t,Mental Health,Age 30 Adult Self Report Syndrome Scale $t$-Score,30,Intrusive,mental_syndrome30,-,,,,,,0,0
anx_t,Mental Health,Age 30 Adult Self Report Syndrome Scale $t$-Score,30,Anxious/Depressed,mental_syndrome30,-,,,,,,0,0
ext_t,Mental Health,Age 30 Adult Self Report Syndrome Scale $t$-Score,30,Externalizing,mental_syndrome30,-,,,,,,0,0
tht_t,Mental Health,Age 30 Adult Self Report Syndrome Scale $t$-Score,30,Thought Problems,mental_syndrome30,-,,,,,,0,0
totp_t,Mental Health,Age 30 Adult Self Report Syndrome Scale $t$-Score,30,Total Problems,mental_syndrome30,-,,,,,,0,0
with_t,Mental Health,Age 30 Adult Self Report Syndrome Scale $t$-Score,30,Withdrawn,mental_syndrome30,-,,,,,,0,0
int_t,Mental Health,Age 30 Adult Self Report Syndrome Scale $t$-Score,30,Internalizing,mental_syndrome30,-,,,,,,0,0
crit_t,Mental Health,Age 30 Adult Self Report Syndrome Scale $t$-Score,30,Critical Items,mental_syndrome30,-,,,,,,0,0
rule_t,Mental Health,Age 30 Adult Self Report Syndrome Scale $t$-Score,30,Rule Breaking,mental_syndrome30,-,,,,,,0,0
att_t,Mental Health,Age 30 Adult Self Report Syndrome Scale $t$-Score,30,Attention Problems,mental_syndrome30,-,,,,,,0,0
B18GSI_T,Mental Health,BSI 18 $t$-Score,Mid-30s,Global Severity Index,mental_bsi18,-,si34y_time,apgar1,apgar5,prem_birth,,0,0
B18Som_T,Mental Health,BSI 18 $t$-Score,Mid-30s,Somatization,mental_bsi18,-,si34y_time,apgar1,apgar5,prem_birth,,0,0
B18Anx_T,Mental Health,BSI 18 $t$-Score,Mid-30s,Anxiety,mental_bsi18,-,si34y_time,apgar1,apgar5,prem_birth,,0,0
B18Dep_T,Mental Health,BSI 18 $t$-Score,Mid-30s,Depression,mental_bsi18,-,si34y_time,apgar1,apgar5,prem_birth,,0,0
BSIHosRw,Mental Health,BSI Raw Score,Mid-30s,Hostility,mental_bsi1821,-,si34y_time,apgar1,apgar5,prem_birth,,0,0
BSIAnxRw,Mental Health,BSI Raw Score,Mid-30s,Anxiety,mental_bsi1821,-,si34y_time,apgar1,apgar5,prem_birth,,0,0
B18Raw,Mental Health,BSI Raw Score,Mid-30s,Global Severity Index,mental_bsi1821,-,si34y_time,apgar1,apgar5,prem_birth,,0,0
bsi_rhos,Mental Health,BSI Raw Score,21,Hostility,mental_bsi1821,-,,,,,,0,0
bsi_rgsi,Mental Health,BSI Raw Score,21,Global Severity Index,mental_bsi1821,-,,,,,,0,0
bsi_ranx,Mental Health,BSI Raw Score,21,Anxiety,mental_bsi1821,-,,,,,,0,0
BSIDepRw,Mental Health,BSI Raw Score,Mid-30s,Depression,mental_bsi1821,-,si34y_time,apgar1,apgar5,prem_birth,,0,0
bsi_rdep,Mental Health,BSI Raw Score,21,Depression,mental_bsi1821,-,,,,,,0,0
BSISomRw,Mental Health,BSI Raw Score,Mid-30s,Somatization,mental_bsi1821,-,si34y_time,apgar1,apgar5,prem_birth,,0,0
bsi_rsom,Mental Health,BSI Raw Score,21,Somatization,mental_bsi1821,-,,,,,,0,0
BSIDep_T,Mental Health,BSI $t$-Score,Mid-30s,Depression $t$-Score,mental_bsi1821_t,-,si34y_time,apgar1,apgar5,prem_birth,,0,0
bsi_tdep,Mental Health,BSI $t$-Score,21,Depression $t$-Score,mental_bsi1821_t,-,,,,,,0,0
bsi_tsom,Mental Health,BSI $t$-Score,21,Somatization $t$-Score,mental_bsi1821_t,-,,,,,,0,0
bsi_tanx,Mental Health,BSI $t$-Score,21,Anxiety $t$-Score,mental_bsi1821_t,-,,,,,,0,0
BSISom_T,Mental Health,BSI $t$-Score,Mid-30s,Somatization $t$-Score,mental_bsi1821_t,-,si34y_time,apgar1,apgar5,prem_birth,,0,0
BSIHos_T,Mental Health,BSI $t$-Score,Mid-30s,Hostility $t$-Score,mental_bsi1821_t,-,si34y_time,apgar1,apgar5,prem_birth,,0,0
bsi_tgsi,Mental Health,BSI $t$-Score,21,Global Severity Index $t$-Score,mental_bsi1821_t,-,,,,,,0,0
BSIAnx_T,Mental Health,BSI $t$-Score,Mid-30s,Anxiety $t$-Score,mental_bsi1821_t,-,si34y_time,apgar1,apgar5,prem_birth,,0,0
bsi_thos,Mental Health,BSI $t$-Score,21,Hostility $t$-Score,mental_bsi1821_t,-,,,,,,0,0
PSYC_NC,Mental Health,Mid-30s Mental Health Conditions,Mid-30s,Current Condition: Any Psychiatric Concern,mental current34,-,si34y_time,apgar1,apgar5,prem_birth,,0,0
QLMENTL2,Mental Health,Mid-30s Mental Health Conditions,Mid-30s,Current Condition: Sad/Depressed in Past 30 Days,mental current34,-,si34y_time,apgar1,apgar5,prem_birth,,0,0
si34y_hprob_mental,Mental Health,Mid-30s Mental Health Conditions,Mid-30s,Current Condition: Mental Problems,mental current34,-,si34y_time,apgar1,apgar5,prem_birth,,0,0
QLSTRES2,Mental Health,Mid-30s Mental Health Conditions,Mid-30s,Current Condition: Worried/Anxious in Past 30 Days,mental current34,-,si34y_time,apgar1,apgar5,prem_birth,,0,0
PSYC_ANX,Mental Health,Mid-30s Mental Health Conditions,Mid-30s,Current Condition: Anxiety,mental current34,-,si34y_time,apgar1,apgar5,prem_birth,,0,0
PSYC_SUIC,Mental Health,Mid-30s Mental Health Conditions,Mid-30s,Current Condition: Suicidal Ideation,mental current34,-,si34y_time,apgar1,apgar5,prem_birth,,0,0
PSYC_INS,Mental Health,Mid-30s Mental Health Conditions,Mid-30s,Current Condition: Insomnia,mental current34,-,si34y_time,apgar1,apgar5,prem_birth,,0,0
PSYC_DEP,Mental Health,Mid-30s Mental Health Conditions,Mid-30s,Current Condition: Depression,mental current34,-,si34y_time,apgar1,apgar5,prem_birth,,0,0
cas_mbtralc12y,Drugs and Alcohol,Smoking and Drinking Behavior,12,Problems Due to Alcohol or Drugs,risk_youth,-,,,,,,0,0
cas_mbdrugs12y,Drugs and Alcohol,Smoking and Drinking Behavior,12,Used Alcohol and/or Drugs,risk_youth,-,,,,,,0,0
drink_days,Drugs and Alcohol,"Tobacco, Drugs, Alcohol",30,Days drank alcohol last month,risk_adult,-,,,,,,0,0
drink_binge_days,Drugs and Alcohol,"Tobacco, Drugs, Alcohol",30,Days binge drank alcohol last month,risk_adult,-,,,,,,0,0
